"TIME","D10.AG","D10.EAST","D10.JONES","D10.MTZ","D10.SAC","D10.SJR","D12.AG","D12.EAST","D12.JONES","D12.MTZ","D12.SAC","D12.SJR","D22.AG","D22.EAST","D22.JONES","D22.MTZ","D22.SAC","D22.SJR","D26.AG","D26.EST","D26.JONES","D26.MTZ","D26.SAC","D26.SJR","D28A.AG","D28A.EAST","D28A.JONES","D28.MTZ","D28A.SAC","D28A.SJR","D4.AG","D4.EAST","D4.JONES","D4.MTZ","D4.SAC","D4.SJR","D6.AG","D6.EAST","D6.JONES","D6.MTZ","D6.SAC","D6.SJR","D7.AG","D7.EAST","D7.JONES","D7.MTZ","D7.SAC","D7.SJR","D8.AG","D8.EAST","D8.JONES","D8.MTZ","D8.SAC","D8.SJR","NZ032.AG","NZ032.EAST","NZ032.JONES","NZ032.MTZ","NZ032.SAC","NZ032.SJR","P8.AG","P8.EAST","P8.JONES","P8.MTZ","P8.SAC","P8.SJR","D16.AG","D16.EAST","D16.JONES","D16.MTZ","D16.SAC","D16.SJR","MD10A.AG","MD10A.EAST","MD10A.JONES","MD10A.MTZ","MD10A.SAC","MD10A.SJR","NZS42.AG","NZS42.EAST","NZS42.JONES","NZS42.MTZ","NZS42.SAC","NZS42.SJR","year","month"
1991-01-01,1.346,0.132,0,59.344,39.066,0.072,2.426,0.228,0,25.234,71.913,0.131,2.433,0.175,0,10.859,86.343,0.104,2.31,0.234,0,1.364,95.947,0.108,3.421,0.489,0,1.831,93.741,0.472,2.23,0.199,0,27.618,69.771,0.113,0.119,0.012,0,96.571,3.288,0.006,0.747,0.075,0,79.354,19.762,0.038,0.759,0.076,0,77.503,21.599,0.041,1.749,0.174,0,49.885,48.046,0.091,10.405,21.684,0,0.014,2.035,65.682,2.642,0.205,0,3.999,92.959,0.124,17.061,3.54,"0",0.004,77.051,2.34,1.662,0.134,0,60.113,37.885,0.059,1991,1
1991-01-02,1.326,0.128,0,59.511,38.926,0.07,2.399,0.218,0,25.8,71.39,0.126,2.45,0.169,0,11.21,85.984,0.1,2.368,0.226,0,1.373,95.894,0.103,3.472,0.47,0,1.832,93.757,0.424,2.205,0.192,0,28.196,69.231,0.109,0.101,0.01,0,97.052,2.828,0.005,0.642,0.064,0,82.004,17.235,0.033,0.752,0.074,0,77.455,21.657,0.04,1.539,0.152,0,55.696,42.483,0.08,10.699,21.724,0,0.014,2.117,65.26,2.684,0.198,0,4.075,92.854,0.119,17.294,3.385,"0",0.004,77.149,2.164,1.645,0.135,0,59.804,38.211,0.061,1991,1
1991-01-03,1.316,0.124,0,59.398,39.053,0.069,2.377,0.21,0,26.422,70.804,0.121,2.481,0.163,0,11.55,85.623,0.097,2.438,0.218,0,1.388,95.824,0.097,3.524,0.457,0,1.833,93.73,0.413,2.186,0.185,0,28.746,68.71,0.106,0.091,0.009,0,97.298,2.594,0.005,0.593,0.059,0,83.142,16.156,0.03,0.744,0.072,0,77.433,21.689,0.039,1.357,0.133,0,60.959,37.435,0.07,10.974,21.782,0,0.014,2.199,64.84,2.73,0.192,0,4.204,92.688,0.114,17.519,3.25,"0",0.004,77.219,2.004,1.602,0.132,0,60.457,37.605,0.06,1991,1
1991-01-04,1.331,0.123,0,58.625,39.812,0.069,2.387,0.203,0,26.467,70.759,0.118,2.527,0.156,0,11.39,85.745,0.093,2.48,0.198,0,1.38,95.82,0.088,3.487,0.407,0,1.857,93.885,0.322,2.183,0.179,0,28.85,68.617,0.103,0.089,0.009,0,97.331,2.564,0.005,0.576,0.057,0,83.452,15.866,0.03,0.773,0.074,0,76.323,22.766,0.04,1.267,0.124,0,63.497,35.004,0.065,11.125,22.101,0,0.014,2.139,64.428,2.786,0.185,0,4.219,92.628,0.109,17.696,3.096,"0",0.003,77.409,1.792,1.557,0.129,0,61.293,36.818,0.059,1991,1
1991-01-05,1.43,0.129,0,55.183,43.143,0.072,2.486,0.204,0,24.167,72.958,0.119,2.604,0.145,0,10.055,87.016,0.086,2.548,0.194,0,1.263,95.884,0.081,3.549,0.379,0,1.872,93.87,0.287,2.237,0.175,0,27.127,70.291,0.101,0.116,0.011,0,96.492,3.371,0.006,0.618,0.06,0,82.064,17.205,0.032,0.882,0.082,0,72.737,26.226,0.046,1.253,0.122,0,63.76,34.757,0.064,10.985,22.671,0,0.01,1.567,64.563,2.848,0.177,0,3.862,92.939,0.103,17.932,2.962,"0",0.003,77.47,1.629,1.525,0.126,0,62.017,36.124,0.058,1991,1
1991-01-06,1.51,0.132,0,52.431,45.807,0.075,2.57,0.201,0,22.174,74.868,0.118,2.687,0.135,0,9.099,87.902,0.08,2.636,0.193,0,1.183,95.884,0.075,3.601,0.351,0,1.885,93.875,0.246,2.297,0.171,0,25.584,71.776,0.099,0.12,0.011,0,96.347,3.512,0.006,0.642,0.062,0,81.194,18.047,0.033,0.95,0.087,0,70.428,28.458,0.048,1.244,0.12,0,63.931,34.597,0.063,11.073,22.684,0,0.008,1.266,64.754,2.913,0.168,0,3.571,93.18,0.097,18.201,2.861,"0",0.003,77.425,1.507,1.495,0.124,0,62.677,35.498,0.057,1991,1
1991-01-07,1.506,0.129,0,52.507,45.74,0.073,2.572,0.195,0,22.539,74.511,0.114,2.761,0.129,0,8.906,88.03,0.076,2.708,0.175,0,1.206,95.814,0.068,3.56,0.331,0,1.917,93.924,0.226,2.32,0.166,0,25.365,71.98,0.096,0.127,0.012,0,96.112,3.739,0.006,0.64,0.061,0,81.121,18.124,0.033,0.943,0.085,0,70.543,28.354,0.047,1.216,0.117,0,64.696,33.865,0.062,11.444,22.406,0,0.008,1.347,64.577,2.998,0.163,0,3.61,93.064,0.093,18.429,2.779,"0",0.003,77.421,1.364,1.463,0.121,0,63.319,34.894,0.056,1991,1
1991-01-08,1.499,0.126,0,52.724,45.535,0.071,2.55,0.189,0,23.518,73.564,0.111,2.826,0.124,0,8.689,88.191,0.073,2.776,0.15,0,1.274,95.71,0.061,3.545,0.301,0,1.945,93.97,0.196,2.338,0.16,0,25.336,72.001,0.093,0.122,0.011,0,96.244,3.613,0.006,0.63,0.06,0,81.346,17.911,0.032,0.939,0.083,0,70.601,28.302,0.046,1.185,0.114,0,65.571,33.027,0.06,11.853,22.447,0,0.01,1.666,63.81,3.085,0.158,0,3.718,92.875,0.09,18.808,2.696,"0",0.003,77.279,1.211,1.438,0.12,0,63.843,34.401,0.056,1991,1
1991-01-09,1.359,0.113,0,57.237,41.186,0.064,2.405,0.176,0,27.464,69.786,0.102,2.84,0.125,0,10.203,86.664,0.073,2.913,0.138,0,1.58,95.27,0.063,3.602,0.309,0,1.899,93.898,0.251,2.279,0.154,0,27.908,69.499,0.089,0.089,0.008,0,97.256,2.64,0.004,0.567,0.053,0,83.098,16.234,0.029,0.806,0.07,0,74.768,24.293,0.039,1.106,0.105,0,67.842,30.849,0.056,12.979,21.936,0,0.018,3.239,61.628,3.157,0.155,0,4.474,92.047,0.089,18.976,2.688,"0",0.004,77.149,1.181,1.403,0.117,0,64.536,33.753,0.055,1991,1
1991-01-10,1.409,0.113,0,55.734,42.638,0.064,2.484,0.173,0,26.37,70.805,0.101,2.919,0.118,0,9.774,87.026,0.069,2.997,0.145,0,1.585,95.175,0.062,3.766,0.311,0,1.87,93.754,0.259,2.334,0.149,0,27.037,70.323,0.086,0.113,0.01,0,96.486,3.381,0.006,0.583,0.054,0,82.55,16.762,0.029,0.859,0.073,0,73.067,25.934,0.041,1.093,0.104,0,68.165,30.543,0.055,13.029,22.521,0,0.017,3.066,61.165,3.223,0.147,0,4.249,92.22,0.084,19.18,2.619,"0",0.003,77.11,1.085,1.387,0.116,0,64.898,33.409,0.054,1991,1
